"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2021","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2022","411840","4,5"
"United States of America","2021","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2022","345678","4,5"
"United States of America","2021","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2022","282638","4,5"
"United States of America","2021","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2022","231507","4,5"
"United States of America","2021","Total","Both Sexes","95","Estimate - de jure","Final figure, complete","2022","181805","4,5"
"United States of America","2021","Total","Both Sexes","95 - 99","Estimate - de jure","Final figure, complete","2022","561085","4,5"
"United States of America","2021","Total","Both Sexes","96","Estimate - de jure","Final figure, complete","2022","141314","4,5"
"United States of America","2021","Total","Both Sexes","97","Estimate - de jure","Final figure, complete","2022","106920","4,5"
"United States of America","2021","Total","Both Sexes","98","Estimate - de jure","Final figure, complete","2022","78467","4,5"
"United States of America","2021","Total","Both Sexes","99","Estimate - de jure","Final figure, complete","2022","52579","4,5"
"United States of America","2021","Total","Both Sexes","100 +","Estimate - de jure","Final figure, complete","2022","97914","4,5"

"footnoteSeqID","Footnote"
"1","Because of rounding, totals are not in all cases the sum of the respective components."
"2","Excluding diplomatic personnel outside the country and foreign military and civilian personnel and their dependants stationed in the area."
"3","Estimates or projections based on the 2020 population census."
"4","Data refer to resident population."
"5","Post-censal estimates."
